File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  -488.45nA
Temperature:  -0.7+-0.1C
Time.......:  12:16:15 - 12:20:36
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
  1       1.0446e+03       5.3534e+01       -8.9682e-01        1.000           0.0
  2       1.3122e+03       5.3437e+01       -8.2756e-01        1.000           2.2
  3       1.6483e+03       5.3345e+01       -7.7041e-01        1.000           3.2
  4       2.0706e+03       5.3262e+01       -7.1065e-01        1.000           4.2
  5       2.6010e+03       5.3181e+01       -6.7423e-01        1.000           5.1
  6       3.2674e+03       5.3104e+01       -6.4115e-01        1.000           6.1
  7       4.1044e+03       5.3023e+01       -6.1212e-01        1.000           7.1
  8       5.1559e+03       5.2953e+01       -5.8664e-01        1.000           8.1
  9       6.4768e+03       5.2884e+01       -5.7146e-01        1.000           9.0
 10       8.1360e+03       5.2829e+01       -4.8172e-01        1.000          10.0
 11       1.0220e+04       5.2768e+01       -4.5643e-01        1.000          11.0
 12       1.2839e+04       5.2710e+01       -4.3399e-01        1.000          11.9
 13       1.6128e+04       5.2657e+01       -4.1270e-01        1.000          12.9
 14       2.0259e+04       5.2600e+01       -4.0373e-01        1.000          13.9
 15       2.5450e+04       5.2548e+01       -3.8693e-01        1.000          14.9
 16       3.1969e+04       5.2453e+01       -5.6846e-01        1.000          15.8
 17       4.0159e+04       5.2398e+01       -5.8261e-01        1.000          16.8
 18       5.0448e+04       5.2335e+01       -6.1986e-01        1.000          17.8
 19       6.3371e+04       5.2276e+01       -6.5785e-01        1.000          18.7
 20       7.9606e+04       5.2205e+01       -7.1622e-01        1.000          19.7
 21       1.0000e+05       5.2133e+01       -7.8575e-01        1.000          20.7
 22       7.9606e+04       5.2208e+01       -7.1490e-01        1.000          21.6
 23       6.3371e+04       5.2279e+01       -6.5705e-01        1.000          22.6
 24       5.0448e+04       5.2340e+01       -6.1979e-01        1.000          23.6
 25       4.0159e+04       5.2405e+01       -5.8318e-01        1.000          24.5
 26       3.1969e+04       5.2462e+01       -5.6888e-01        1.000          25.5
 27       2.5450e+04       5.2561e+01       -3.8604e-01        1.000          26.5
 28       2.0259e+04       5.2613e+01       -4.0254e-01        1.000          27.4
 29       1.6128e+04       5.2672e+01       -4.1336e-01        1.000          28.4
 30       1.2839e+04       5.2726e+01       -4.3345e-01        1.000          29.4
 31       1.0220e+04       5.2787e+01       -4.5627e-01        1.000          30.4
 32       8.1360e+03       5.2849e+01       -4.8162e-01        1.000          31.3
 33       6.4768e+03       5.2905e+01       -5.7091e-01        1.000          32.3
 34       5.1559e+03       5.2976e+01       -5.8823e-01        1.000          33.3
 35       4.1044e+03       5.3048e+01       -6.1153e-01        1.000          34.3
 36       3.2674e+03       5.3130e+01       -6.4368e-01        1.000          35.2
 37       2.6010e+03       5.3209e+01       -6.7567e-01        1.000          36.2
 38       2.0706e+03       5.3293e+01       -7.1289e-01        1.000          37.2
 39       1.6483e+03       5.3376e+01       -7.7227e-01        1.000          38.1
 40       1.3122e+03       5.3470e+01       -8.2943e-01        1.000          39.1
 41       1.0446e+03       5.3570e+01       -8.9847e-01        1.000          40.1
 42       8.3153e+02       5.3679e+01       -9.7367e-01        1.000          41.0
 43       6.6195e+02       5.3789e+01       -1.0669e+00        1.000          42.0
 44       5.2695e+02       5.3914e+01       -1.1751e+00        1.000          43.0
 45       4.1949e+02       5.4050e+01       -1.2765e+00        1.000          43.9
 46       3.3394e+02       5.4199e+01       -1.4296e+00        1.000          44.9
 47       2.6584e+02       5.4366e+01       -1.6017e+00        1.000          45.9
 48       2.1162e+02       5.4563e+01       -1.7515e+00        1.000          46.8
 49       1.6846e+02       5.4770e+01       -1.9881e+00        1.000          47.8
 50       1.3411e+02       5.5006e+01       -2.2528e+00        1.000          48.7
 51       1.0676e+02       5.5272e+01       -2.5584e+00        1.000          49.8
 52       8.4986e+01       5.5579e+01       -2.8950e+00        1.000          50.8
 53       6.7654e+01       5.5924e+01       -3.2799e+00        1.000          51.9
 54       5.3524e+01       5.6327e+01       -3.7405e+00        1.000          53.8
 55       4.1896e+01       5.6835e+01       -4.2504e+00        1.000          56.0
 56       3.2409e+01       5.7469e+01       -4.8445e+00        1.000          57.9
 57       2.4746e+01       5.8273e+01       -5.5538e+00        1.000          59.9
 58       1.8624e+01       5.9306e+01       -6.3530e+00        1.000          62.1
 59       1.3792e+01       6.0633e+01       -7.2367e+00        1.000          64.6
 60       1.0031e+01       6.2362e+01       -8.1349e+00        1.000          67.4
 61       7.1499e+00       6.4570e+01       -8.8968e+00        1.000          70.7
 62       4.9825e+00       6.7267e+01       -9.3625e+00        1.000          74.8
 63       3.3858e+00       7.0327e+01       -9.2404e+00        1.000          79.9
 64       2.2374e+00       7.3374e+01       -8.3738e+00        1.000          86.4
 65       1.4343e+00       7.5960e+01       -6.8165e+00        1.000          96.5
 66       8.9031e-01       7.7802e+01       -4.9780e+00        1.000         108.9
 67       5.3506e-01       7.8896e+01       -3.3814e+00        1.000         125.7
 68       3.1211e-01       7.9465e+01       -2.1141e+00        1.000         151.1
 69       1.7783e-01       7.9752e+01       -1.2227e+00        1.000         187.7
 70       1.0000e-01       7.9937e+01       -7.2555e-01        1.000         239.3

