File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  1.1012uA
Temperature:  -0.6+-0.1C
Time.......:  13:05:35 - 13:09:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       2.4323e+01       -4.5183e-01        1.000           0.0
   2      1.3122e+03       2.4274e+01       -4.0633e-01        1.000           2.0
   3      1.6483e+03       2.4232e+01       -3.7005e-01        1.000           3.0
   4      2.0706e+03       2.4193e+01       -3.3404e-01        1.000           4.0
   5      2.6010e+03       2.4156e+01       -3.0858e-01        1.000           4.9
   6      3.2674e+03       2.4122e+01       -2.8458e-01        1.000           5.9
   7      4.1044e+03       2.4087e+01       -2.6037e-01        1.000           6.9
   8      5.1559e+03       2.4056e+01       -2.3974e-01        1.000           7.8
   9      6.4768e+03       2.4028e+01       -2.2310e-01        1.000           8.8
  10      8.1360e+03       2.4007e+01       -1.7640e-01        1.000           9.8
  11      1.0220e+04       2.3982e+01       -1.5534e-01        1.000          10.8
  12      1.2839e+04       2.3957e+01       -1.3087e-01        1.000          11.7
  13      1.6128e+04       2.3935e+01       -1.1214e-01        1.000          12.7
  14      2.0259e+04       2.3911e+01       -9.0773e-02        1.000          13.7
  15      2.5450e+04       2.3892e+01       -6.3590e-02        1.000          14.6
  16      3.1969e+04       2.3856e+01       -1.2052e-01        1.000          15.6
  17      4.0159e+04       2.3834e+01       -9.6779e-02        1.000          16.6
  18      5.0448e+04       2.3812e+01       -7.5931e-02        1.000          17.5
  19      6.3371e+04       2.3795e+01       -4.6187e-02        1.000          18.5
  20      7.9606e+04       2.3773e+01       -1.8208e-02        1.000          19.5
  21      1.0000e+05       2.3749e+01        1.8352e-02        1.000          20.4
  22      7.9606e+04       2.3772e+01       -1.9678e-02        1.000          21.4
  23      6.3371e+04       2.3797e+01       -4.7477e-02        1.000          22.4
  24      5.0448e+04       2.3814e+01       -7.5608e-02        1.000          23.3
  25      4.0159e+04       2.3835e+01       -9.8555e-02        1.000          24.3
  26      3.1969e+04       2.3856e+01       -1.2145e-01        1.000          25.3
  27      2.5450e+04       2.3893e+01       -6.2154e-02        1.000          26.2
  28      2.0259e+04       2.3915e+01       -9.0730e-02        1.000          27.2
  29      1.6128e+04       2.3937e+01       -1.1217e-01        1.000          28.2
  30      1.2839e+04       2.3959e+01       -1.3204e-01        1.000          29.1
  31      1.0220e+04       2.3984e+01       -1.5543e-01        1.000          30.1
  32      8.1360e+03       2.4008e+01       -1.7771e-01        1.000          31.1
  33      6.4768e+03       2.4031e+01       -2.2324e-01        1.000          32.0
  34      5.1559e+03       2.4059e+01       -2.3911e-01        1.000          33.0
  35      4.1044e+03       2.4091e+01       -2.6063e-01        1.000          34.0
  36      3.2674e+03       2.4126e+01       -2.8522e-01        1.000          34.9
  37      2.6010e+03       2.4160e+01       -3.0800e-01        1.000          35.9
  38      2.0706e+03       2.4197e+01       -3.3492e-01        1.000          36.9
  39      1.6483e+03       2.4235e+01       -3.7042e-01        1.000          37.8
  40      1.3122e+03       2.4278e+01       -4.0814e-01        1.000          38.8
  41      1.0446e+03       2.4325e+01       -4.5219e-01        1.000          39.8
  42      8.3153e+02       2.4379e+01       -5.0054e-01        1.000          40.8
  43      6.6195e+02       2.4438e+01       -5.5700e-01        1.000          41.7
  44      5.2695e+02       2.4503e+01       -6.2204e-01        1.000          42.7
  45      4.1949e+02       2.4577e+01       -6.8650e-01        1.000          43.6
  46      3.3394e+02       2.4659e+01       -7.7583e-01        1.000          44.6
  47      2.6584e+02       2.4753e+01       -8.7584e-01        1.000          45.6
  48      2.1162e+02       2.4869e+01       -9.6405e-01        1.000          46.5
  49      1.6846e+02       2.4994e+01       -1.0951e+00        1.000          47.5
  50      1.3411e+02       2.5142e+01       -1.2366e+00        1.000          48.5
  51      1.0676e+02       2.5315e+01       -1.3936e+00        1.000          49.5
  52      8.4986e+01       2.5516e+01       -1.5583e+00        1.000          50.5
  53      6.7654e+01       2.5748e+01       -1.7316e+00        1.000          51.6
  54      5.3524e+01       2.6026e+01       -1.9222e+00        1.000          53.5
  55      4.1896e+01       2.6371e+01       -2.0938e+00        1.000          55.7
  56      3.2409e+01       2.6792e+01       -2.2525e+00        1.000          57.6
  57      2.4746e+01       2.7283e+01       -2.3812e+00        1.000          59.6
  58      1.8624e+01       2.7848e+01       -2.4317e+00        1.000          61.8
  59      1.3792e+01       2.8447e+01       -2.3991e+00        1.000          64.3
  60      1.0031e+01       2.9062e+01       -2.2332e+00        1.000          67.1
  61      7.1499e+00       2.9615e+01       -1.9685e+00        1.000          70.4
  62      4.9825e+00       3.0073e+01       -1.6359e+00        1.000          74.5
  63      3.3858e+00       3.0426e+01       -1.2866e+00        1.000          79.6
  64      2.2374e+00       3.0671e+01       -9.7644e-01        1.000          86.1
  65      1.4343e+00       3.0838e+01       -6.9186e-01        1.000          96.2
  66      8.9031e-01       3.0943e+01       -4.5382e-01        1.000         108.6
  67      5.3506e-01       3.1005e+01       -3.0163e-01        1.000         125.4
  68      3.1211e-01       3.1058e+01       -1.8161e-01        1.000         150.9
  69      1.7783e-01       3.1091e+01       -9.2389e-02        1.000         187.4
  70      1.0000e-01       3.1123e+01       -5.8415e-02        1.000         239.0

